size,operation,language,time_seconds
60,min,python,0.285243
60,min_preprocessing,cpp/python,0.056878
60,min,cpp/python,0.032607
75,init,python,0.006541
75,decreasing,python,22.735648
75,decreasing,cpp/python,0.158099
75,increasing,python,30.293255
75,increasing,cpp/python,0.128548
75,max_preprocessing,python,0.106007
75,max,python,0.352369
75,max_preprocessing,cpp/python,0.048683
75,max,cpp/python,0.032257
75,min_preprocessing,python,0.095302
75,min,python,0.487743
75,min_preprocessing,cpp/python,0.039508
75,min,cpp/python,0.039616
100,init,python,0.015252
100,decreasing,python,73.027198
100,decreasing,cpp/python,0.295066
100,increasing,python,118.409075
100,increasing,cpp/python,0.228859
100,max_preprocessing,python,0.169863
100,max,python,0.846728
100,max_preprocessing,cpp/python,0.175817
100,max,cpp/python,0.076308
100,min_preprocessing,python,0.129423
100,min,python,1.112411
100,min_preprocessing,cpp/python,0.10823
100,min,cpp/python,0.081141
0,total,python,282.396282
